corpus_id,origin,archive_id,source_size,source_sha256,saving_product,export_match,export_size,export_sha256
mus-ae135676ff5457b0,filesystem,,110207,ae135676ff5457b0c1174d4ef0c5678034e20af44f9843d0e81938dfb333d020,2006,adjacent-exact,135834,e92fe41e7149f9216c5e68295d6e4d239707f1f9ed790253b0d0a7564b5eab40
mus-2b36211e83dd2459,filesystem,,109939,2b36211e83dd2459d664a9762e4375262d898f80727eeeae37c0a877ba511499,2006,adjacent-exact,135433,03292a8c40cac8dbfee2c123103885b9e4e91ba1c5816172a520d40775360341
mus-dcb04b1b7a205247,filesystem,,107586,dcb04b1b7a205247c1275f757212ce648482788d90d9e2226f0fb8a167e0f933,2006,adjacent-exact,132656,ac960b45f6f1243cd09cc485652e7106cdc6ba4493d4d941bd9689255b1228c7
mus-448865536924e50b,filesystem,,116740,448865536924e50b7a2dca01d70937c8e84ae77382b72f054361e0ccc3d1314d,2006,adjacent-exact,146420,d0e96ea88d7b9716ad708f3a2e56a4ee46c6dc67995e870b8348647c99bfe943
mus-64aebdca97362db1,filesystem,,114688,64aebdca97362db1b91dd97c79233c499c7b83793504cbdf2d83846ddd19edab,2006,adjacent-exact,143523,d4e414dd3a3aad0d196670dfb5337e35e594198920de416077cb76efe693f309
mus-547e37edb19181b8,filesystem,,110370,547e37edb19181b8f31f91a8807b566d76b0b2071550b0e28f99b3586984ca1f,2006,adjacent-exact,136433,a750a63a23cf2999d9bb4e39a71775dea66ef4d12d08006e64de9fa5e7e6a45e
mus-513ed46b17b9cd21,filesystem,,125168,513ed46b17b9cd2176fb0c6864a650b159bb20b54a2d255688e3c24df2b718b4,2006,adjacent-exact,156308,4c4c4cbe87859c0835737ddf2009c4cbc0f50acd22f2c06141f7e975e0d5c26c
mus-896ca89f240979d6,filesystem,,123184,896ca89f240979d6189d01c5e810df0a90ffdb1c1b4b878850c1ee7cf8ddb8f6,2006,adjacent-exact,154319,af736281a4ac61047625253e647319fb138b00df78ff1c72f7bbc26e7670de2f
mus-0b48d24b269994cd,filesystem,,138908,0b48d24b269994cd7f9b7098cf056587b177690a341bde16483248f9533f8f78,2006,adjacent-exact,175930,5e8b41478dba18bc6c7eeaa3be0721b08ea7c92075bf1e38da894cfe7a78e0ec
mus-97c25410d2c8c910,filesystem,,133565,97c25410d2c8c910e1e634c87694293eb1d409b1083c53414fd082d3d295c753,2006,adjacent-exact,169075,d291d1447f0abc8b3a35f1ea7e369afcc197d168c8e5cee1ba57a970bc8a48e5
mus-168dfc9198e83614,filesystem,,130172,168dfc9198e8361420f4d867fd62d150719e6de903eb6cca20f88bd2a01c85d7,2006,adjacent-exact,162961,98a2e375dd0f6bce78ed5fabced880aeb36266bd31c213938742594ab0fa47d0
mus-ca16d18eb3de89a1,filesystem,,126686,ca16d18eb3de89a12c748c8818b31d63e4fd851ced3c9a375fed61fb8a93bf93,2006,adjacent-exact,156532,c56eda9f2a67317e0c11045f4f46b8ae83564f45ab7fe1a1ff900612103d9e20
mus-437e38d51a857d3c,filesystem,,138778,437e38d51a857d3cc875114e896260de052aad0c23e7fd22ebca0b85da466036,2006,adjacent-exact,170405,8de4edf99badca1d813d6436c422e340d19a1ceebbce9d0813230cfe932b4c87
mus-784c93708490145c,filesystem,,126805,784c93708490145cf0bb00e088546af46154cdc44335a25cd94df34087e1251f,2006,adjacent-exact,154707,f6a332c163ee0aeea013b3e212c16a78f64239924f3e7d22e8d7291b58dc1b08
mus-905d63612223af13,filesystem,,127980,905d63612223af132f56ef051162477d9a2af8da635688d3c041365d111d57c9,2006,adjacent-exact,155475,817481c189134ffd8c02175fbe25d9e3172a20a56d62aea46ad2f264f21769b0
mus-a189e45bd3584de5,filesystem,,226640,a189e45bd3584de5557e9ce5cd6fded7783ee178cb390db517c66719434393d1,2006,adjacent-exact,168930,45c5be34cdb821da7560686c338623996cc7f094f3202a75e70aeb9bf29d6ffc
mus-23fad3a375953ffb,filesystem,,144516,23fad3a375953ffb4be4709dd89bef55d4e237989b2e48d932639a3deacbb5f8,2006,adjacent-exact,179022,af801991107ed3349412dd066b30bfdabe73f543e4c0eed5cb5adbdfa26c0640
