archive_id,member_id,member_size,member_sha256,is_enigma_binary,saving_product,member_name_has_extension,body_prefix,body_entropy,wrapper_endian,zlib_members,framed_records
arc-2b13f320c62a59a3,mus-de30adaf7cd428c2,454571,de30adaf7cd428c262461d0a799806097a4aececea8f5a7c87b851523c05d1ee,True,2000,True,000100032b1600302661000d00000000,3.5837,none,0,0
arc-2b13f320c62a59a3,mus-2d58bab453b9435f,536645,2d58bab453b9435f9c70f518361eed6ba7da9efdcc2850f43de60c2f0ed15437,True,2000,True,00010003c2f600302661000d00000000,3.6664,none,0,0
arc-2b13f320c62a59a3,mus-e1cc23090c7bdf32,498845,e1cc23090c7bdf3273bdea99c19352b7d6332055f51a3ed60233c397a3afecd9,True,2000,True,000100037f9600302661000d00000000,3.6386,none,0,0
arc-4f7361d1b8865adc,mus-214bbaf9c672de46,394542,214bbaf9c672de46d73070467fe952fb6d9d3cb2d67fe94757cbd492e725b9f4,True,2000,True,0001000342d600312661000100000000,3.7554,none,0,0
arc-4f7361d1b8865adc,mus-cc90abe6220979c8,410606,cc90abe6220979c8449b08c87ef31f57acf6a283d4359f071682c98ce3edce1d,True,2000,True,00010003515600312661000100000000,3.7403,none,0,0
arc-4f7361d1b8865adc,mus-6d76fb8888edd864,408828,6d76fb8888edd864f36b1871a08d2e32f1d7908ac9c0a70e5d417be9c7016cca,True,2000,True,00010003512600312661000100000000,3.7471,none,0,0
arc-4f7361d1b8865adc,mus-1f9713b29ce12e25,423384,1f9713b29ce12e25c8a6f51a7b67c1c5628c8800392cb171390bb93ff7ca10a0,True,2000,True,00010003774600312661000100000000,3.7339,none,0,0
arc-4f7361d1b8865adc,mus-9330f2bafadb010c,414780,9330f2bafadb010c4ed4cfe061d5882958279a4d38821f8347013c69ee9e02eb,True,2000,True,000100036da600312661000100000000,3.7354,none,0,0
arc-4f7361d1b8865adc,mus-b46b90876ff03f89,407558,b46b90876ff03f899c3605be255fa1a934317b7d9ad4b580a3bb676a096af895,True,2000,True,0001000369c600312661000100000000,3.7260,none,0,0
arc-4f7361d1b8865adc,mus-23b9c398f1934e05,404258,23b9c398f1934e055654a224934026cbf7fc5aa2ddc3d35558b3dd3af3d78057,True,2000,True,00010003639600312661000100000000,3.7246,none,0,0
arc-4f7361d1b8865adc,mus-6917b07fe4b987fe,703483,6917b07fe4b987fef7386b947f15dfb44691990b6260bd348acb644b0d5e0494,True,2000,False,00010004271600312661000100000000,3.7621,none,0,0
arc-4f7361d1b8865adc,mus-d040bcc47d20f271,649259,d040bcc47d20f27158da3cbea00a90e6299e930630eeb857ff7d8ff37f5d9b3d,True,2000,True,00010004a87600312661000100000000,3.8232,none,0,0
arc-4f7361d1b8865adc,mus-5a7f67d3e1a3384e,402085,5a7f67d3e1a3384e0ec152ec22b6409e794e75bfb4cbfdb1a66c19508260ed0e,True,2000,True,0001000343d600312661000100000000,3.7513,none,0,0
arc-4f7361d1b8865adc,mus-d895ba84793bd539,389290,d895ba84793bd5395b37c63066f485daf32b4fdb4c6f16915b9fde404d9efc36,True,2000,True,00010003399600312661000100000000,3.8122,none,0,0
arc-4f7361d1b8865adc,mus-e9e54eee128d47ea,384434,e9e54eee128d47ea0fc7f1a87287c28ea15853b80fabeb2413968711476d2a59,True,2000,True,0001000355c600312661000100000000,3.7514,none,0,0
arc-4f7361d1b8865adc,mus-85bc6a98232d8d2a,383368,85bc6a98232d8d2a009c961944be67a63ea1019aac670aa0d9426220e03442fc,True,2000,True,00010003561600312661000100000000,3.7401,none,0,0
arc-4f7361d1b8865adc,mus-6902a07fe4834539,376150,6902a07fe48345394da541cdb6de0fde7e85e23a7275d4e6f995777016e60f83,True,2000,True,0001000343e600312661000100000000,3.7482,none,0,0
arc-4f7361d1b8865adc,mus-018c7468f77a37b9,408372,018c7468f77a37b93bde7aeb3eb269887d264804cfd7269cd9f31ec186ea701d,True,2000,True,000100036c7600312661000100000000,3.7614,none,0,0
arc-4f7361d1b8865adc,mus-d74b1ad8b33f772d,402630,d74b1ad8b33f772dcb53633cdcc32ab556c003b19664cf0b4a1af9b91823c3b6,True,2000,True,00010003608600312661000100000000,3.7681,none,0,0
arc-4f7361d1b8865adc,mus-317c5a5a4cf1af3b,386697,317c5a5a4cf1af3b7824326c47801a0523a1c85eca540e953d9e94e7d5fc58c4,True,2000,True,000100034b9600312661000100000000,3.7917,none,0,0
arc-4f7361d1b8865adc,mus-97ae5e8224e6f5be,457776,97ae5e8224e6f5be6382f772c94016caff207b3e509a5b020bcc4bd0110f2447,True,2000,True,00010003639600312661000100000000,3.7774,none,0,0
arc-4f7361d1b8865adc,mus-fb068ff645fa801b,453800,fb068ff645fa801b5f73c14f36499081b9af477059c7a3cb5d84753ebfef64a0,True,2000,True,000100036d5600312661000100000000,3.7944,none,0,0
